id,stock,industry, info
2013,中航机电,航空,ma20crossma30
2074,国轩高科,电气设备,ma20crossma30
2097,山河智能,工程机械,ma20crossma30
2207,准油股份,石油开采,ma20crossma30
2280,联络互动,软件服务,ma20crossma30
300277,海联讯,软件服务,ma20crossma30
300396,迪瑞医疗,医疗保健,ma20crossma30
300508,维宏股份,软件服务,ma20crossma30
300663,科蓝软件,软件服务,ma20crossma30
300910,瑞丰新材,化工原料,ma20crossma30
600067,冠城大通,全国地产,ma20crossma30
600169,太原重工,工程机械,ma20crossma30
600273,嘉化能源,化工原料,ma20crossma30
603086,先达股份,农药化肥,ma20crossma30
603359,东珠生态,环境保护,ma20crossma30
603912,佳力图,专用机械,ma20crossma30
603970,中农立华,农药化肥,ma20crossma30
603976,正川股份,医疗保健,ma20crossma30
688229,博睿数据,软件服务,ma20crossma30
quant_select_stock_UserMa20CrossMa30_2021-11-30.csv
