id,stock,industry, info
795,英洛华,矿物制品,68.0
829,天音控股,其他商业,50.0
838,财信发展,区域地产,56.99999999999999
2006,精功科技,专用机械,67.0
2011,盾安环境,家用电器,60.0
2095,生 意 宝,互联网,60.0
2096,南岭民爆,化工原料,55.00000000000001
2210,*ST飞马,仓储物流,59.0
2309,中利集团,电气设备,52.0
2432,九安医疗,医疗保健,147.0
2473,*ST圣莱,家用电器,54.0
2487,大金重工,电气设备,103.0
2544,杰赛科技,通信设备,60.0
2645,华宏科技,专用机械,53.0
2655,共达电声,元器件,64.0
2731,萃华珠宝,服饰,70.0
2776,ST柏龙,服饰,51.0
2805,丰元股份,化工原料,80.0
2847,盐津铺子,食品,84.0
2865,钧达股份,汽车配件,78.0
2881,美格智能,通信设备,56.99999999999999
2885,京泉华,元器件,121.0
2937,兴瑞科技,元器件,55.00000000000001
2960,青鸟消防,专用机械,67.0
3011,海象新材,家居用品,51.0
3043,华亚智能,专用机械,65.0
300052,中青宝,互联网,133.0
300065,海兰信,船舶,69.0
300081,恒信东方,文教休闲,67.0
300093,金刚玻璃,玻璃,56.99999999999999
300118,东方日升,电气设备,84.0
300127,银河磁体,元器件,60.0
300134,大富科技,通信设备,51.0
300199,翰宇药业,化学制药,70.0
300204,舒泰神,生物制药,98.0
300220,金运激光,元器件,65.0
300224,正海磁材,元器件,85.0
300264,佳创视讯,通信设备,82.0
300320,海达股份,橡胶,70.0
300332,天壕环境,供气供热,63.0
300351,永贵电器,运输设备,59.0
300360,炬华科技,电器仪表,72.0
300364,中文在线,出版业,121.0
300435,中泰股份,供气供热,50.0
300437,清水源,化工原料,121.0
300438,鹏辉能源,电气设备,73.0
300474,景嘉微,元器件,64.0
300491,通合科技,电气设备,63.0
300507,苏奥传感,汽车配件,78.0
300619,金银河,专用机械,111.00000000000001
300672,国科微,半导体,62.0
300681,英搏尔,汽车配件,72.0
300741,华宝股份,食品,63.0
300745,欣锐科技,汽车配件,159.0
300831,派瑞股份,元器件,56.00000000000001
300835,龙磁科技,元器件,84.0
300890,翔丰华,矿物制品,59.0
300893,松原股份,汽车配件,66.0
300907,康平科技,电气设备,54.0
300945,曼卡龙,服饰,56.99999999999999
300953,震裕科技,机械基件,67.0
301012,扬电科技,电气设备,106.0
301022,海泰科,专用机械,87.0
301069,凯盛新材,化工原料,85.0
301072,中捷精工,汽车配件,112.00000000000001
600071,凤凰光学,元器件,64.0
600078,*ST澄星,化工原料,69.0
600318,新力金融,多元金融,67.0
600330,天通股份,元器件,54.0
600522,中天科技,通信设备,97.0
600556,天下秀,互联网,54.0
600721,*ST百花,生物制药,66.0
600742,一汽富维,汽车配件,60.0
600854,春兰股份,家用电器,59.0
600856,*ST中天,供气供热,87.0
600973,宝胜股份,电气设备,55.00000000000001
600995,文山电力,水力发电,88.0
601137,博威合金,铜,59.0
603032,*ST德新,公共交通,82.0
603115,海星股份,铝,59.0
603165,荣晟环保,造纸,51.0
603178,圣龙股份,汽车配件,66.0
603192,汇得科技,化工原料,68.0
603197,保隆科技,汽车配件,65.0
603229,奥翔药业,化学制药,54.0
603286,日盈电子,汽车配件,56.00000000000001
603297,永新光学,电器仪表,74.0
603333,尚纬股份,电气设备,61.0
603398,邦宝益智,文教休闲,59.0
603595,东尼电子,元器件,84.0
603606,东方电缆,电气设备,63.0
603666,亿嘉和,专用机械,67.0
603917,合力科技,汽车配件,98.0
603982,泉峰汽车,汽车配件,80.0
605111,新洁能,半导体,52.0
605123,派克新材,航空,55.00000000000001
605133,嵘泰股份,汽车配件,55.00000000000001
605286,同力日升,运输设备,113.99999999999999
605333,沪光股份,汽车配件,93.0
605399,晨光新材,化工原料,54.0
688022,瀚川智能,专用机械,107.0
688056,莱伯泰科,电器仪表,72.0
688071,华依科技,专用机械,52.0
688077,大地熊,元器件,108.0
688123,聚辰股份,半导体,53.0
688187,时代电气,运输设备,59.0
688195,腾景科技,元器件,94.0
688330,宏力达,电气设备,66.0
688356,键凯科技,化学制药,51.0
688533,上声电子,汽车配件,161.0
688589,力合微,半导体,69.0
688611,杭州柯林,电气设备,59.0
688639,华恒生物,化学制药,109.00000000000001
688661,和林微纳,元器件,51.0
688663,新风光,电气设备,102.0
688667,菱电电控,汽车配件,66.0
688676,金盘科技,电气设备,78.0
688689,银河微电,元器件,67.0
688700,东威科技,专用机械,50.0
688772,珠海冠宇,电气设备,55.00000000000001
688800,瑞可达,元器件,80.0
