id,stock,industry, info
576,甘化科工,食品,高位回踩
2292,奥飞娱乐,影视音像,高位回踩
2332,仙琚制药,生物制药,高位回踩
2354,天神娱乐,互联网,高位回踩
2384,东山精密,元器件,高位回踩
2425,凯撒文化,互联网,高位回踩
2436,兴森科技,元器件,高位回踩
2650,加加食品,食品,高位回踩
2706,良信股份,电气设备,高位回踩
2886,沃特股份,塑料,高位回踩
300115,长盈精密,元器件,高位回踩
300400,劲拓股份,专用机械,高位回踩
300418,昆仑万维,互联网,高位回踩
300457,赢合科技,专用机械,高位回踩
300582,英飞特,半导体,高位回踩
600566,济川药业,中成药,高位回踩
600732,爱旭股份,电气设备,高位回踩
600850,电科数字,软件服务,高位回踩
600986,浙文互联,互联网,高位回踩
603324,盛剑环境,环境保护,高位回踩
605183,确成股份,化工原料,高位回踩
605286,同力日升,运输设备,高位回踩
605338,巴比食品,食品,高位回踩
